2026-08-10 12:53:19.711 [0x00000974] INFO  EPC - 	setBatchWithCar 写入 1/1 carNum=1 ready=0 ttl=300s cacheSize=1 
2026-08-10 13:07:16.304 [0x000047d0] INFO  EPC - 	setSkuBinding 新增 epc=AC78A59C0C4010A22811029240003546 barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
2026-08-10 13:09:40.180 [0x00000da0] INFO  EPC - 	setBatchWithCar 写入 1/1 carNum=0 ready=1 ttl=300s cacheSize=1 
2026-08-10 13:09:40.182 [0x00000da0] WARN  EPC - 	getCarNum 缓存未命中 epc=WV34S1CN2001B60L cacheSize=1
2026-08-10 16:30:41.799 [0x000041d8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 16:30:41.801 [0x000041d8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 16:31:24.064 [0x000083d8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 16:31:24.065 [0x000083d8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 16:38:01.474 [0x000083d8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"AC78A59C0C4010A22811029240003546","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080","volu":"1234"}],"orderCode":"PB202203200003","orderQty":1}(220字节)
2026-08-10 16:38:01.589 [0x000052b4] INFO  EPC - 	setSkuBinding 新增 epc=AC78A59C0C4010A22811029240003546 barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
2026-08-10 16:41:28.267 [0x0000c280] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"AC78A59C0C4010A22811029240003546","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080","volu":"1234"}],"orderCode":"PB202203200003","orderQty":1}(220字节)
2026-08-10 16:41:28.303 [0x000052b4] INFO  EPC - 	setSkuBinding 新增 epc=AC78A59C0C4010A22811029240003546 barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
2026-08-10 16:46:39.840 [0x00006804] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 16:46:39.840 [0x00006804] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 16:46:59.215 [0x00006804] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"AC78A59C0C4010A22811029240003546","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080","volu":"1234"}],"orderCode":"PB202203200003","orderQty":1}(220字节)
2026-08-10 16:46:59.253 [0x00009870] INFO  EPC - 	setSkuBinding 新增 epc=AC78A59C0C4010A22811029240003546 barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
2026-08-10 16:47:08.496 [0x00006804] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 16:47:08.498 [0x00006804] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 17:29:25.567 [0x00008068] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 17:29:25.567 [0x00008068] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(164字节)
2026-08-10 17:29:28.104 [0x00008068] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"AC78A59C0C4010A22811029240003546","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080","volu":"1234"}],"orderCode":"PB202203200003","orderQty":1}(220字节)
2026-08-10 17:29:28.136 [0x00004ac8] INFO  EPC - 	setSkuBinding 新增 epc=AC78A59C0C4010A22811029240003546 barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
